id,object,result_position,annonce_id,agency_id,agency_page,agency_contact_name,agency_img_url,agency_phone_number,agency_has_email,agency_link,address,area,bedrooms_count,business_unit,coownership_annual_charges,coownership_number_of_lots,coownership_is_syndic_procedure,contact_is_private_seller,contact_email,description,district,dpe,estate_type,electricity_consumption,estate_type_id,features,ges,gas_emissions,highlighting_level,insee_code,is_furnished,is_exclusive,is_redirected,is_expired,latitude,longitude,monthly_price,main_picture,nature,postal_code,position,picture_count,price,price_per_meter,photos,price_decrease_percent,publication_id,pricing_price_note,ref,rooms,short_description,transaction_type,title,tags,url,video_url,virtual_visit_url,collected_at,input_url
"5124007","result","1","212999889","54474","https://www.seloger.com/professionnels/agences-immobilieres/lille-59800/agence-40627/","Gestion - JLW Immobilier","https://v.seloger.com/s/width/150/logos/2/8/m/9/28m9dkdc0pfxyirzxq6v8scwlebt07y5ue0y36t8q.jpg","03 20 57 72 57","t",,"Lille","38.458333333333336","1","1",,,,"f","t","A louer, appartement t1bis meublé de 38 m² avec place de parking en sous sol et balcon. L'appartement se compose d'une entrée avec placard, d'une pièce de vie avec coin cuisine équipée donnant sur un balcon et un coin nuit, d'une salle de bains avec branchement machine à laver et de WC séparés. Disponible le 04/09/2023 Dépôt de garantie: 838 euros Loyer de 838 euros + 85 euros de provision sur charges (eau froide + parties communes). Honoraires à la charge du locataire : 494 euros TTC (constitution du dossier, visite, rédaction du bail dont 114 euros pour l'état des lieux). Loyer de référence : 18,2 euros/m² soit 693,2 euros Loyer majoré : 21,8 euros/m² soit 830,4 euros Ref VFF","Vieux Lille","E","Appartement","243","1","Balcon, Ascenseur : non communiqué, Coin cuisine équipé, Salle de bain (baignoire), Entrée séparée, Placards / rangements, Chauffage : non communiqué","B","10","3",,"t","f",,"f","50.641876","3.0605398","0","https://v.seloger.com/s/crop/414x414/visuels/0/w/i/3/0wi30zb7d4yzsooec7sbenbsi1kewwesmgqos1z40.jpg","1","59000",,"7","923","24","https://v.seloger.com/s/crop/341x256/visuels/0/w/i/3/0wi30zb7d4yzsooec7sbenbsi1kewwesmgqos1z40.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/d/3/m/1d3m96fgw9ci6ryo3wwh8sn9ycxmopv5od20ccruo.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/9/2/y/092yg6hpihj73rvi5b8t6g6uhxyknz0kxz3ysx9ts.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/1/c/8/01c8yr9st2p4tp93j2vheq0o91xfd7lloifv3f7r4.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/h/u/9/1hu9757zfi9geebtlepf20r16zzeqzsr73s3q35ds.jpg","24","30054474","cc","VFF-PA-JLWLOC","2","Location Appartement - A louer, appartement t1bis meublé de 38 m² avec place de parking en sous sol et balcon. L'appartement se compose d'une entrée avec placard, d'une pièce de vie avec coin cuisine équipée donnant sur un balcon et un coin nuit, d'une salle de bains avec branchement machine à laver et de WC séparés. Disponible le 04/09/2023 Dépôt de garantie: 838 euros Loyer de 838 euros + 85 euros de provision sur charges (eau froide + parties communes). Honoraires à la charge du locataire : 494 euros TTC (constitution du dossier, visite, rédaction du bail dont 114 euros pour l'état [...]","1","Location Appartement 2 pièces Lille - Appartement F2/T2/2 pièces 38,09 m² 923€/mois","2 pièces, 1 chambre, 38 m², Balcon","https://www.seloger.com/annonces/locations/appartement/lille-59/vieux-lille/212999889.htm",,,"2024-02-09 07:50:17.278647","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5144814","result","2","215291335","8798","https://www.seloger.com/professionnels/agences-immobilieres/montpellier-3-34000/agence-70171/","CDC HABITAT","https://v.seloger.com/s/width/150/logos/1/5/m/r/15mr2o5n7g79pgj5th66spo93dzvtg0j4c2qepvlh.jpg","09 72 15 01 27","t","https://www.cdc-habitat.fr/","Lille","67.71428571428571","0","1",,,,"f","t",,"Bourg Delivrance",,"Appartement",,"1",,,,"2",,"f","t",,"f",,,"0",,"1","59000",,"6","948","14","https://v.seloger.com/s/crop/341x256/visuels/1/o/c/m/1ocmm3z4oo15u382g1ldchz74a7qkc9okiqae9e14.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/3/t/n/13tn6wvryrodg35rmx52vexa9ahm5iwrxazb3wv7v.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/o/d/f/1odft3rpvd09qqpu57fn2bkiv52c7df98gewdlq5s.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/o/k/i/1okiw7rvnsoka1fk4odlc9bnioa2w5b1427grxi28.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/w/b/a/1wbao6gkytvor5f7chzxqdf23tkoxx003wbqi1whc.jpg",,"30008798","cc",,"3","Location Appartement - SANS HONORAIRES. SANS HONORAIRES - disponible le 2/03/2024 - DUPLEX avec LOGGIA - compris parking, chauffage, eau chaude et eau froide.LOUEZ DANS DU NEUF SANS PLAFONDS DE RESSOURCESAu pied du métro 'Maison des Enfants', Vill'Arboréa s'implante au sein d'un quartier où les moyens de circulation doux et les espaces verts sont [...]","1",,"3 pièces, 2 chambres, 68 m², Étage 1/–, Parking","https://www.seloger.com/annonces/locations/appartement/lille-59/bourg-delivrance/215291335.htm",,,"2024-02-09 07:50:17.755568","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5130109","result","3","214084543","80002","https://www.seloger.com/professionnels/agences-immobilieres/lyon-6eme-arrondissement-69006/agence-13217/","Valority Administration de Biens","https://v.seloger.com/s/width/150/logos/1/t/s/x/1tsxihn0rdqtzts50uk46bx52bqo84zkmi6wurru9.jpg","04 78 17 14 17","t","https://www.valority.com/location-immobiliere/","Lille","59","2","1",,,"f","f","t","Référence annonce à communiquer : 24113 LILLE SOLFERINO Résidence située à Lille, proche de toutes commodités : transports, commerces, lycée, clinique, restaurants, pharmacie, etc..  T3 de 57,,4 m². Il se compose d'une entrée, d'un séjour ouvert sur un coin cuisine équipé (rangements, plaque de cuisson, hotte), de deux chambres, d'une salle de bains et WC séparés. Chauffage individuel électrique.  Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  VALORITY ADB","Centre","C","Appartement","150","1","Dispo le 15/02/2024, Ascenseur, Cuisine équipée, Salle de bain (baignoire), Salle d'eau (douche), Toilettes, Séjour / salon, Entrée séparée, Placards / rangements, Chauffage individuel électrique","D","25","2",,"f","f",,"f","50.6302592","3.0566481","0","https://v.seloger.com/s/crop/414x414/visuels/0/m/z/m/0mzm6j7vvf4dsl2v8u47arfz0okpeg78lky22tzuu.jpg","1","59000",,"1","767","13","https://v.seloger.com/s/crop/341x256/visuels/0/m/z/m/0mzm6j7vvf4dsl2v8u47arfz0okpeg78lky22tzuu.jpg","13","30080002","cc","24113","3","Location Appartement - Référence annonce à communiquer : 24113 LILLE SOLFERINO Résidence située à Lille, proche de toutes commodités : transports, commerces, lycée, clinique, restaurants, pharmacie, etc..  T3 de 57,,4 m². Il se compose d'une entrée, d'un séjour ouvert sur un coin cuisine équipé (rangements, plaque de cuisson, hotte), de deux [...]","1","Location Appartement 3 pièces Lille - Appartement F3/T3/3 pièces 57,4 m² 767€/mois","3 pièces, 2 chambres, 57 m², Étage 1/–, Ascenseur","https://www.seloger.com/annonces/locations/appartement/lille-59/centre/214084543.htm",,,"2024-02-09 07:46:08.100427","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5144815","result","4","213142377","282054","https://www.seloger.com/professionnels/agences-immobilieres/lille-59800/agence-48231/","LA LILLOISE IMMOBILIER","https://v.seloger.com/s/height/150/logos/1/c/a/x/1cax8gf5o4kmy2y54vs7y87k1zdnypw6cb3azvtjy.jpg","03 20 55 60 60","t","http://lalilloise-immobilier.fr/","Lille","44.285714285714285","0","1",,,,"f","t",,"Centre",,"Appartement",,"1",,,,"2",,"t","t",,"f",,,"0",,"1","59800",,"7","930","21","https://v.seloger.com/s/crop/341x256/visuels/2/5/b/7/25b72y59ou3oyw2mm0cxt9xycthqhyedxdd885cbk.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/p/t/s/1ptsm38d5kio2q56saez5nlky5ta95vzdna0drcm8.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/6/h/n/16hnug6o8wk6qa4uhnzbey8iri2naxt4ik1wzsq00.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/k/m/d/1kmd5ybsejkqlc8px6zaue7npsolqpybx1voo3bnn.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/z/t/c/0ztck1oc55972wafv06fgxgrr40wob1uc86gki080.jpg",,"30282054","cc",,"2","Location Appartement - La Lilloise Immobilier vous propose ce charmant T2 meublé en plein de centre de Lille, à proximité de toutes commodités. Il se compose d'un hall d'entrée, un séjour avec coin cuisine, une chambre, une salle de bains et WC. Le logement dispose également d'une place de parking en sous-sol. Disponible maintenant !","1",,"2 pièces, 1 chambre, 43 m², Étage 3/0","https://www.seloger.com/annonces/locations/appartement/lille-59/centre/213142377.htm",,,"2024-02-09 07:46:08.357044","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5144816","result","5","215260843","73306",,"Cabinet Ledoux","https://v.seloger.com/s/width/150/logos/0/4/1/c/041cvxmkecxztbr40qa0qa2m98ue5po6np3dd746s.jpg","03 20 29 84 24","t","http://www.ledoux.fr/","Lille","38.44444444444444","0","1",,,,"f","t",,"Vieux Lille",,"Appartement",,"1",,,,"2",,"f","f",,"f",,,"0",,"1","59000",,"8","692","18","https://v.seloger.com/s/crop/341x256/visuels/1/z/x/z/1zxzq99z9prpcaaiborao468e8xgmw1311rjsvb4l.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/b/f/h/0bfh1mmsiid5mu5sr2pqjuewwssyh9za1a20amm1r.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/q/b/i/0qbi9n3uic9b9jdfs5de1yylke62fgpjh5cxfivj3.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/r/3/0/0r30k7ij0aqifi3ojxpc9fe8uh6vhbr376mxveqzk.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/r/0/b/0r0br0kgnmlko8w6bwqg7n9h65bha6iopnhx6wpi8.jpg",,"30073306","cc",,"2","Location Appartement - Appartement T2 situé au 2ème étage d'un immeuble du vieux lille comprenant une entrée, une cuisine aménagée et équipée, un séjour, une chambre, une salle de bains avec baignoire. - SL_1707371311","1",,"2 pièces, 1 chambre, 38 m², Étage 0/0","https://www.seloger.com/annonces/locations/appartement/lille-59/vieux-lille/215260843.htm",,,"2024-02-09 07:46:08.604482","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5138656","result","6","215066067","68215","https://www.seloger.com/professionnels/agences-immobilieres/lille-59000/agence-67924/","STANDING IMMO","https://v.seloger.com/s/width/150/logos/0/p/y/p/0pypc24gzqi07d11s2f53knwolgc5jdk5vouhm99x.jpg","06 34 82 40 30","t","http://www.standingimmo.com/","Lille","51.11764705882353","1","1",,,"f","f","t","Appartement de 51 m2 situé au 3ème étage sans ascenseur, entièrement rénové, séjour, salle à manger ou bureau, cuisine équipée avec hotte et plaques vitro, chambre, salle de bains avec branchement lave-linge. Chauffage individuel électrique Disponibilité : 6 mars 2024 Loyer : 829 EUR + 40 EUR charges soumises à régularisation annuelle  Zone soumise à encadrement des loyers Loyer de référence majoré (loyer de base à ne pas dépasser) : 892 EUR (17,5 EUR/m2) Loyer de base : 744,6 EUR par mois (14,6 EUR/m2) Complément de loyer :0   Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",,"E","Appartement","239","1","Dispo le 06/03/2024, Exposition Est, Pas d'ascenseur, Cuisine séparée, Salle de bain (baignoire), Séjour / salon, Salle à manger, Chauffage individuel électrique","B","7","2",,"f","f",,"f",,,"0","https://v.seloger.com/s/crop/414x414/visuels/0/m/6/v/0m6vvnz6vqob181ej3fmjmw2x3ljdxpqcdo03d5s9.jpg","1","59000",,"30","869","17","https://v.seloger.com/s/crop/341x256/visuels/0/m/6/v/0m6vvnz6vqob181ej3fmjmw2x3ljdxpqcdo03d5s9.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/5/h/l/05hll8xtomw80r1q1dw05ul96w7gyczklba110ia1.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/5/3/o/053oux98r5o0bopbscj4l0sv3ofhwzy31bs5kaumh.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/j/5/5/1j55ilh4ce9xgr5vnpnx1hc0tup9l892iqtipg2h5.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/4/t/u/14tuzd0yuzht01wv7wdrwxde0nexq1oia1grv2r9l.jpg","17","30068215","cc","GAUTHIER3","2","Location Appartement - Appartement de 51 m2 situé au 3ème étage sans ascenseur, entièrement rénové, séjour, salle à manger ou bureau, cuisine équipée avec hotte et plaques vitro, chambre, salle de bains avec branchement lave-linge. Chauffage individuel électrique Disponibilité : 6 mars 2024 Loyer : 829 EUR + 40 EUR charges soumises à [...]","1","Location Appartement 2 pièces Lille - Appartement F2/T2/2 pièces 51 m² 869€/mois","2 pièces, 1 chambre, 51 m², Étage 3/4","https://www.seloger.com/annonces/locations/appartement/lille-59/215066067.htm",,,"2024-02-09 07:46:08.890849","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5139909","result","7","214136013","473765","https://www.seloger.com/professionnels/agences-immobilieres/paris-3eme-arrondissement-75003/agence-108978/","AMASTAS","https://v.seloger.com/s/width/150/logos/0/d/l/m/0dlm6641ie59pv0y7rm1139r20v88uwffurob25o8.jpg","01 76 42 15 02","t","https://www.amastas.fr/","Lille","46.666666666666664","1","1",,,"f","f","t","Appartement T2 refait à neuf, proche M2 à Lille.Disponible dès le 07/02 et visite virtuelle à votre disposition.  L'appartement se constitue comme ceci :- Espace de vie avec rangements, ouvert sur la cuisine- Cuisine ouverte avec plaques de cuisson, évier, rangements- 1 Chambre - SDB avec baignoire, meuble vasque, miroir.- WC séparés avec accès hall d'entrée et dressing. Charges comprenant : Eau et Entretien des communsRestant à charge locataire : Electricité—Loyer : 700euros /mois CCHonoraires de location : 598eurosDépôt de garantie : 650euros Situé proche de toutes commodités.A 5min à pied de la sortie de métro M2, Saint-Maurice Pellevoisin.","Saint Maurice-Pellevoisin","D","Appartement",,"1","Ascenseur : non communiqué, Entrée séparée, Placards / rangements, Chauffage : non communiqué","B",,"1",,"f","t",,"f",,,"0","https://v.seloger.com/s/crop/414x414/visuels/0/n/o/o/0noo9ivwmkmjm34i4dt2zpmmsypdja08v9m6hp31s.jpg","1","59800",,"7","700","15","https://v.seloger.com/s/crop/341x256/visuels/0/n/o/o/0noo9ivwmkmjm34i4dt2zpmmsypdja08v9m6hp31s.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/m/1/7/1m175vzvvx69c73u01suwbpt6mip72uhn0mslu75c.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/p/z/1/0pz1kdy7y3hsfu3hx08zfft67qsbynhl8st0nqbow.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/x/v/u/1xvu5ojstxsvhjlw6o6z8admo5mko0fz6vwlwkmuo.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/s/1/d/1s1davyhewwh8a1lgbtwr2qm7j6h53s7flwt1zwkw.jpg","15","30473765","cc","L259lille1louviere","2","Location Appartement - Appartement T2 refait à neuf, proche M2 à Lille.Disponible dès le 07/02 et visite virtuelle à votre disposition.  L'appartement se constitue comme ceci :- Espace de vie avec rangements, ouvert sur la cuisine- Cuisine ouverte avec plaques de cuisson, évier, rangements- 1 Chambre - SDB avec baignoire, meuble vasque, miroir.- [...]","1","Location Appartement 2 pièces Lille - Appartement F2/T2/2 pièces 46 m² 700€/mois","2 pièces, 1 chambre, 46 m²","https://www.seloger.com/annonces/locations/appartement/lille-59/saint-maurice-pellevoisin/214136013.htm",,"https://my.matterport.com/show/?m=ACTsDTbnGJV","2024-02-09 07:46:09.218671","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5140047","result","8","213860795","505125","https://www.seloger.com/professionnels/agences-immobilieres/lille-59800/agence-271916/","Foncia Lille",,"03 59 82 32 32","t",,"Lille","55.214285714285715","1","1",,,"f","f","t","RUE PIETONNE - APPARTEMENT UNE CHAMBRE 1ER ETAGE ET COMPRENANT UN SEJOUR LUMINEUX UNE CUISINE EQUIPEE UNE CHAMBRE - UNE SALLE DE BAIN Wc separés Au calme apt/arrière de l'immeuble Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques. gouv. fr","Centre","G","Appartement","433","1","Construit en 1921, Calme, Pas d'ascenseur, Cuisine équipée, Salle de bain (baignoire), Séjour / salon, Chauffage : non communiqué","C","14","1",,"f","f",,"f",,,"0","https://v.seloger.com/s/crop/414x414/visuels/1/l/e/8/1le8782dhc2pd5s9z1sjpecynm56npm23cwrzxaio.jpg","1","59000",,"8","773","14","https://v.seloger.com/s/crop/341x256/visuels/1/l/e/8/1le8782dhc2pd5s9z1sjpecynm56npm23cwrzxaio.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/k/v/n/1kvntau7qdcvrfz9rjrk1zd2sow5nirnl16xsdj7k.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/z/6/u/1z6u32gox9ssau2ckw5yko3hpkr3nlvzm8ajmwu4g.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/5/r/4/15r4ll630ql3jvh4ijxwjvkpo64yxddngo4c4g8e8.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/4/8/r/148rb7pusy3r3ulxk6qlzjk0rdcy9f2x5f3czr7nk.jpg","14","1350136","cc","330445137","2","Location Appartement - RUE PIETONNE - APPARTEMENT UNE CHAMBRE 1ER ETAGE ET COMPRENANT UN SEJOUR LUMINEUX UNE CUISINE EQUIPEE UNE CHAMBRE - UNE SALLE DE BAIN Wc separés Au calme apt/arrière de l'immeuble Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques. gouv. fr","1","Location Appartement 2 pièces Lille - Appartement F2/T2/2 pièces 53,4 m² 773€/mois","2 pièces, 1 chambre, 53 m², Étage 1/–","https://www.seloger.com/annonces/locations/appartement/lille-59/centre/213860795.htm",,"https://app.immoviewer.com/portal/tour/3016238?accessKey=65b5","2024-02-09 07:46:09.54159","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5139580","result","9","211549411","512090","https://www.seloger.com/professionnels/agences-immobilieres/lambersart-59130/agence-220585/","GUY HOQUET LAMBERSART & ARMENTIERES",,"03 20 07 10 10","t",,"Lille","76","2","1",,,"f","f","t","VOTRE AGENCE GUY HOQUET LAMBERSART VOUS PROPOSE:  À louer à partir du 1er janvier 2024 : dans le quartier CHR, découvrez à LILLE (59000) cette maison de 4 pièces de 78 m².  La maison est composée d'un salon séjour ,d'une cuisine équipée, salle de bain au rez de chaussée et un jardin avec abri.  A l'étage vous y trouverez deux chambres spacieuses et confortables .  Points forts : - très bien équipée ( loué meublé) - Lumineux - 3 min du métro et 5 du CHR - Pompe à chaleur - Poele à granules  Il y a tous les types d'établissements scolaires (de la maternelle au lycée) à quelques pas de la maison. Niveau transports, on trouve cinq lignes de bus, la gare Lille CHR ainsi que la station de métro Chu-Centre O. Lambret (ligne M1) à moins de 10 minutes. L'autoroute A25 est accessible à 1 km. Il y a de nombreux restaurants et un bureau de poste dans les environs.  Contactez notre agence pour obtenir de plus amples renseignements sur cette maison en location à LILLE.","Faubourg de Béthune-Concorde","C","Maison/Villa","132","2","Jardin, Aucune cuisine, Salle de bain (baignoire), Séjour / salon, Chauffage : non communiqué","A",,"1",,"f","t",,"f",,,"0","https://v.seloger.com/s/crop/414x414/visuels/2/3/5/g/235gvyl3auxcfu3wwkjukemlae8dw0eb8ojfct1j4.jpg","1","59000",,"13","1140","15","https://v.seloger.com/s/crop/341x256/visuels/2/3/5/g/235gvyl3auxcfu3wwkjukemlae8dw0eb8ojfct1j4.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/5/e/v/15evelsysjsoehajki7y8619p9mpdoemdbux0r1r4.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/q/0/i/0q0ibprrnuretx700mnka35yumrwu7h9b30616qow.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/b/g/h/1bghb475fkjbdnqeyw9golfwfltm7hs8rcabx0u0w.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/p/4/j/0p4jxlisy3chbekj3a4mz9eb2n4n49casa88c63z4.jpg","15","30512090","cc","30AV","4","Location Maison/Villa - VOTRE AGENCE GUY HOQUET LAMBERSART VOUS PROPOSE:  À louer à partir du 1er janvier 2024 : dans le quartier CHR, découvrez à LILLE (59000) cette maison de 4 pièces de 78 m².  La maison est composée d'un salon séjour ,d'une cuisine équipée, salle de bain au rez de chaussée et un jardin avec abri.  A l'étage vous y [...]","1","Location maison 4 pièces Lille - maison F4/T4/4 pièces 78 m² 1140€/mois","4 pièces, 2 chambres, 78 m², Jardin","https://www.seloger.com/annonces/locations/maison/lille-59/faubourg-de-bethune-concorde/211549411.htm",,"https://my.matterport.com/show/?m=LgkHQRaHMiw","2024-02-09 07:46:09.818294","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
"5144817","result","10","214797581","174357","https://www.seloger.com/professionnels/agences-immobilieres/paris-9eme-arrondissement-75009/agence-9322/","FLATLOOKER","https://v.seloger.com/s/width/150/logos/1/s/z/l/1szl5iaqv57vz2bp8oobbohm9jn0kx0fda5wkl8fo.jpg","07 56 79 50 74","t","http://www.flatlooker.com/","Lille","79.33333333333333","0","1",,,,"f","t",,"Lille Sud",,"Appartement",,"1",,,,"1",,"t","t",,"f",,,"0",,"1","59000",,"30","1190","15","https://v.seloger.com/s/crop/341x256/visuels/2/a/q/d/2aqdrsc1y0ry7tkiypf2cgrivnvawt3ipcrsinz7k.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/o/o/5/1oo5gw3kai2cm1i2jorbpawte5vo1w79gy2y3j9xc.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/q/a/f/1qaf0oobrg2sc6dj93lu6uuly8ultd85r5bgveigw.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/u/h/v/0uhvvyp3u6h5n1zp2s1jwljxxf1i6dtz0bvhh9h4w.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/j/n/2/0jn2bjztw9dp238luw7rhuuavo7dunw6mlflnqk8w.jpg",,"30174357","cc",,"4","Location Appartement - Logement Flatlooker ! Visitez et déposez votre dossier uniquement sur notre plateforme ! Nous ne vous enverrons jamais le bail ou le RIB par mail - tout est sécurisé sur notre plateforme.  Situé à Lille, ce T4 meublé se trouve rue de l'Europe. Non loin de l'arrêt Porte des Postes, le logement est proche de toutes [...]","1",,"4 pièces, 3 chambres, 81 m², Étage 4/–, Balcon, Parking, Ascenseur","https://www.seloger.com/annonces/locations/appartement/lille-59/lille-sud/214797581.htm",,"https://www.flatlooker.com/appartements/location-rue-de-l-europe-59000-lille-lille-meublee-81","2024-02-09 07:46:10.100737","https://www.seloger.com/list.htm?projects=1&types=2,1&places=%5B%7B%22inseeCodes%22:%5B590350%5D%7D%5D&price=NaN/1200&surface=30/NaN&rooms=3,2,4&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=homepage_advanced_search-redirection-search_results"
